No_of_movies,       Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
215,                Aadmi Aur Apsara,1991,142,Fantasy,6.5,97,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
216,                Aadmi Aur Aurat,2001,,Thriller,6.7,66,Alka Kubal,Raza Murad,Ramanna,        -------
217,                Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",,0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
218,                Aadmi Khilona Hai,1993,158,"Drama, Romance",6.2,149,J. Om Prakash,Jeetendra,Reena Roy,Govinda
219,                Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,5,142,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
220,                Aadmi Sadak Ka,1977,138,"Drama, Family",7.6,62,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
221,                Aadupuliyattam,2016,145,Horror,5.4,34,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
222,                Aafat,1977,148,"Crime, Drama",4.2,266,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
223,                Aafat-e-Ishq,2021,,"Comedy, Thriller",5.3,17,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain
224,                Aafreen,2021,,Romance,,40,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty
225,                Aag,1948,138,"Musical, Romance",,40,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
226,                Aag,1967,,"Action, Drama",7.4,357,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
227,                Aag,1994,139,"Action, Comedy, Drama",6.2,29,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
228,                Aag Andhi Aur Toofan,1994,,"Action, Thriller",4.6,227,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
229,                Aag aur Angaray,1990,,Action,3.1,11,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover
230,                Aag Aur Chingari,1994,133,Action,,40,Kanti Shah,Alpana,Aparajita,Asrani
231,                Aag Aur Daag,1970,,"Action, Comedy, Drama",4.1,13,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
232,                Aag Aur Shabab,1990,101,Thriller,3.7,14,Ravi Kumar,Madhuri,Captain Raju,        -------
233,                Aag Aur Shola,1986,,"Action, Drama, Romance",,40,K. Bapaiah,Jeetendra,Sridevi,Mandakini
234,                Aag Aur Shola,2001,,Action,4.1,42,Ravi Raja Pinisetty,Kiran Rathod,Flora Saini,Raj Shekhar
235,                Aag Aur Tezaab,1998,,Action,,40,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan
236,                Aag Aur Toofan,1975,,"Action, Drama, Thriller",,40,Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain
237,                Aag Hi Aag,1987,170,Action,,40,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
238,                Aag Ka Dariya,1990,,Action,5.3,93,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
239,                Aag Ka Dariya,1953,,"Drama, Family",4.2,22,Roop K. Shorey,Meena Shorey,Karan Dewan,Prithviraj Kapoor
240,                Aag Ka Gola,1990,180,"Action, Drama",,40,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
241,                Aag Ka Gola,2002,,Action,4.8,101,Kishan Shah,Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt
242,                Aag Ka Prem Yudh,2002,,Action,,40,Thriller Manju,Rachana Maurya,Sanghavi,Upendra
243,                Aag Ka Toofaan,1993,137,Action,,40,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
244,                Aag Ke Sholay,1988,138,"Action, Thriller",4.8,21,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
245,                Aag Ke Sholay,2001,139,Action,3.4,7,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
246,                Aag Laga Do Sawan Ko,1991,,"Drama, Romance",,40,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
247,                Aag Lagi Barsat Mein,1990,,Thriller,5.7,7,Charanya,Y.G. Mahendran,Silk Smitha,        -------
248,                Aag Se Khelenge,1989,151,Action,,40,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
249,                Aagaah: The Warning,2011,,"Drama, Horror, Thriller",5,52,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
250,                Aage Badho,1947,,Drama,3.6,23,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
251,                Aage Badho,1972,,Romance,6,6,I.S. Johar,Dilip Dutt,Ambika Johar,Rajeev Kumar
252,                Aage Kadam,1943,,        -------,,40,N.R. Acharya,Anjali Devi,Mubarak,Motilal
253,                Aage Ki Soch,1988,,Comedy,,40,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
254,                Aage Maut Peeche Maut,2001,78,Horror,4.8,30,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
255,                Aage Mod Hai,1987,,        -------,3.1,7,Ajit,Raja Bundela,Uday Chandra,Geeta Khanna
256,                Aagey Se Right,2009,117,"Comedy, Crime, Drama",,40,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
257,                Aaghaat,2000,,Action,5,381,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht
258,                Aaghaaz,2000,153,"Action, Crime, Drama",,40,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
259,                Aaghosh,1953,,"Drama, Romance",4.2,274,R.D. Mathur,Agha,Nasir Khan,Leela Mishra
260,                Aagman,1982,,Drama,,40,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
261,                Aah,1953,150,"Drama, Musical, Romance",4.8,8,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
262,                Aahat - Ek Ajeeb Kahani,1971,,Thriller,7.2,275,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
263,                Aah-E-Mazluman,1935,,        -------,6.4,10,N.G. Bulchandani,Abdul Rehman Kabuli,        -------,        -------
264,                Aahuti,1950,,        -------,,40,Kulbhushan,Cuckoo,Indubala,Vikram Kapoor
265,                Aahuti,1978,135,"Action, Drama",,40,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
266,                Aahuti,1992,,Drama,6,25,Rajendra Bhatia,Arun Bali,        -------,        -------
267,                Aahvaan,2020,114,"Comedy, Horror",,40,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha
268,                Aahwan,1996,,Action,,40,        -------,        -------,        -------,        -------
269,                Aai Bahar,1946,,        -------,,40,        -------,        -------,        -------,        -------
270,                Aai Phirse Bahar,1960,,        -------,,40,A. Bhimsingh,Padmini,Shivaji Ganesan,Rajasulochana
271,                Aaina,1993,149,"Drama, Romance",,40,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
272,                Aaina,1977,150,Drama,6,448,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
273,                Aaina,1944,,"Drama, Romance",6.8,94,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
274,                Aaina,2019,60,Horror,3.2,5,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha
275,                Aaiyash: The Desire,2004,123,"Drama, Romance",,40,Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija
276,                Aaj,1987,116,Drama,,40,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
277,                Aaj Aur Kal,1947,,"Comedy, Sci-Fi",5.5,281,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
278,                Aaj Aur Kal,1963,144,"Drama, Romance",4.1,8,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
279,                Aaj Jaana Hai Ke Pyaar Kya Ha,2004,,Romance,5.6,52,Vikram Naaru,Arun Bakshi,Bharat Kapoor,Shakti Kapoor
280,                Aaj Ka Aladdin,1935,,        -------,,40,Nagendra Majumdar,        -------,        -------,        -------
281,                Aaj Ka Andha Kanoon,2003,46,Action,6,5,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
282,                Aaj Ka Arjun,1990,164,"Action, Crime, Drama",3.1,15,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
283,                Aaj Ka Daur,1985,153,"Action, Drama",4.7,586,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
284,                Aaj Ka Farhad,1948,,        -------,5.1,40,Balwant Joshi,Zohra,        -------,        -------
285,                Aaj Ka Gang Leader,1993,,Action,,40,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
286,                Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.6,29,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
287,                Aaj Ka Gunda,2001,,"Action, Thriller",5.3,144,Kanti Shah,Dharmendra,Mohan Joshi,Shakti Kapoor
288,                Aaj Ka Gunda,1992,,Action,4.7,23,Ravi Raja Pinisetty,Chiranjeevi,Radha,Vijayshanti
289,                Aaj Ka Gunda Raaj,2006,,Action,,40,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
290,                Aaj Ka Hindustan,1940,,        -------,6,46,Jayant Desai,Rose,Prithviraj Kapoor,Ishwarlal
291,                Aaj Ka Inteqaam,1991,,Thriller,,40,Rajni Bala,Jainendra,Jamuna,Neela
292,                Aaj Ka Krantiveer,2004,,Action,,40,Jayasudha,Nassar,Soundarya,Vijayakanth
293,                Aaj Ka Laawaris,2006,,Action,,40,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
294,                Aaj Ka Mahaatma,1976,170,"Action, Romance",5.7,17,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
295,                Aaj Ka Maseeha,1995,,Action,3.5,23,Sahil Surti,Rakesh Bedi,Brahmachari,Jamuna
296,                Aaj Ka Nanha Farishta,2000,,"Action, Crime, Thriller",,40,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
297,                Aaj Ka Parshuram,1992,,Action,5.8,8,Satya Murthy G.,Nagendra,Disco Shanti,        -------
298,                Aaj Ka Ravan,2000,128,"Action, Crime",,40,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
299,                Aaj Ka Romeo,1995,,Action,4.3,31,Pavithran,Prabhu Deva,Sarath Kumar,Kushboo
300,                Aaj Ka Samson,1991,123,"Action, Romance",,40,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
301,                Aaj Ka Shahen Shah,1997,,Action,3.1,14,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Manik Irani
302,                Aaj Ka Ye Ghar,1976,,Drama,,0,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
303,                Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",4.5,10,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
304,                Aaj Kal,1934,,        -------,5.8,65,R.S. Choudhury,Jal Merchant,Shantakumari,        -------
305,                Aaj Ke Angaarey,1988,128,"Action, Drama",,40,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
306,                Aaj Ke Shahenshah,1990,132,Action,5,26,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
307,                Aaj Ke Sholey,1985,,Adventure,3.3,15,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
308,                Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.3,37,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
309,                Aaj Ki Baat,1955,,        -------,5.6,79,Leela Chitnis,Ajit,Ajit Chitnis,Leela Chitnis
310,                Aaj Ki Biwi,1991,,Drama,,40,Ajay Kumar,Vijay Kumar,Jaishree Patel,        -------
311,                Aaj Ki Dhara,1979,,Drama,,40,Mukul Dutt,Danny Denzongpa,Padma Khanna,Pradeep Kumar
312,                Aaj Ki Duniya,1940,,Drama,,40,G.P. Pawar,Jeevan,Trilok Kapoor,Nazir
313,                Aaj Ki Jung,1988,,Action,,40,Kodanda Rami Reddy A.,        -------,        -------,        -------
314,                Aaj Ki Pukar,1976,,Drama,,40,        -------,        -------,        -------,        -------
315,                Aaj Ki Raat,1948,,        -------,,40,D.D. Kashyap,Motilal,Suraiya,Lala Yaqoob
316,                Aaj Ki Raat,1992,,Thriller,,40,Madhuri,Pratap,Raghu,Ravi
317,                Aaj Ki Taaqat,1992,,        -------,,40,Anil Nagrath,Jaya Mathur,Anil Nagrath,Sunil Puri
318,                Aaj Ki Taaza Khabar,1973,,Comedy,,40,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
319,                Aaj Kie Aurat,1993,,"Action, Drama",7.3,88,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
320,                Aaj Watan Ne Humen Pukara,1968,,Drama,3.8,14,        -------,        -------,        -------,        -------
321,                Aaja Mere Mehboob,1994,,Romance,,40,Rakesh Kakaria,        -------,        -------,        -------
322,                Aaja Mere Raja,2000,,Drama,,40,Pradeep Chandra,Beena Banerjee,Amita Nangia,Moon Moon Sen
323,                Aaja Meri Bahon Mein,2002,,Romance,,0,        -------,        -------,        -------,        -------
324,                Aaja Meri Jaan,1993,162,Romance,,40,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
325,                Aaja Nachle,2007,137,"Drama, Family, Music",4.4,30,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
326,                Aaja Re O Sajana,1994,,"Drama, Romance",6.2,2998,Tammu Hasan,Neelima Azim,Bob Christo,Puneet Issar
327,                Aaja Sanam,1968,121,"Drama, Romance",,40,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
328,                Aaja Sanam,1994,,"Drama, Romance",6.7,14,Mohnish Bahl,Chandni,Kulbhushan Kharbanda,Ranbir Pushp
329,                Aakanksha,1993,120,Drama,3.3,7,Dinkar Chowdhary,Om Puri,Pankaj Kapur,Sadashiv Amrapurkar
330,                Aakhet,,,Drama,,40,Ravi Buley,Tanima Bhattacharya,Narottam Bain,Rajnikant Singh
331,                Aakhir,1984,,Comedy,,40,K.K. Talwar,Jalal Agha,Kalpana Iyer,Jagdeep
332,                Aakhir Kaun Thi Woh?,2000,,"Action, Mystery, Thriller",,40,Bapu,Raj Babbar,Raza Murad,Sripradha
333,                Aakhir Kyon?,1985,,Drama,4.4,5,J. Om Prakash,Rajesh Khanna,Smita Patil,Rakesh Roshan
334,                Aakhree Raasta,1986,164,"Action, Crime, Drama",6.6,158,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
335,                Aakhri Adaalat,1988,148,"Action, Thriller",7.1,0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
336,                Aakhri Baazi,1989,149,"Action, Drama, Family",5.2,78,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
337,                Aakhri Badla,1989,120,"Action, Crime, Drama",4.1,0,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
338,                Aakhri Badla,2004,,Action,5,21,Meena Amani,Harikrishna,Rajeev Kanakala,Mumait Khan
339,                Aakhri Cheekh,1991,,Horror,,40,Kiran Ramsay,Vijayendra Ghatge,Javed Khan,Sripradha
340,                Aakhri Chetawani,1993,,        -------,4.8,47,Deva Dutta,Bharat Bhushan,Sudha Chandran,Amita Nangia
341,                Aakhri Daao,1975,,"Action, Crime, Drama",,40,A. Salaam,Jeetendra,Saira Banu,Padma Khanna
342,                Aakhri Daku,1978,,Action,5.5,29,Prakash Mehra,Randhir Kapoor,Vinod Khanna,Rekha
343,                Aakhri Dao,1958,,Comedy,5.6,21,Mahesh Kaul,Nutan,Shekhar,Jeevan
344,                Aakhri Dastak,2004,,Drama,6.4,16,Kishore Dang,Aasif Sheikh,Preeti Bhutani,Raza Murad
345,                Aakhri Galti,1936,,        -------,,40,Kamlabai Gokhale,        -------,        -------,        -------
346,                Aakhri Geet,1975,,        -------,,40,G.V. Iyer,G.V. Narayana Rao,Rekha,Krishna Swamy
347,                Aakhri Ghulam,1989,171,"Action, Crime, Drama",,40,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
348,                Aakhri Goli,1977,,Action,4.9,34,Shibu Mitra,Sunil Dutt,Leena Chandavarkar,Farida Jalal
349,                Aakhri Insaaf,1980,,"Action, Mystery",4.8,18,Kalidas,Mithun Chakraborty,Vijayendra Ghatge,Ashok Kumar
350,                Aakhri Inteqam,2002,,Action,4.9,10,Rajesh Bakshi,Sudesh Berry,Anu Kashyap,Amit Pachori
351,                Aakhri Kasam,1979,126,"Action, Thriller",2.5,16,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
352,                Aakhri Khat,1966,153,Drama,6.3,7,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
353,                Aakhri Khwahish-Ek Gunah Ki,2003,,Thriller,6.9,122,Amrit Batra,Arun Bakshi,Ramesh Bhatkar,Dinesh Hingoo
354,                Aakhri Mohabbat,1994,,Romance,,40,Abhilasha,Girish,Ravi Menon,Raghu
355,                Aakhri Mujra,1981,121,"Drama, Musical",,40,Hiren Nag,Asha Parekh,Vikram Makandar,Zarina Wahab
356,                Aakhri Muqabla,1978,,Action,,40,        -------,        -------,        -------,        -------
357,                Aakhri Nishan,1974,,        -------,,40,S.A. Ashokan,Ram Chandran,Jyothi Lakshmi,        -------
358,                Aakhri Nishchay,1988,,Drama,,40,K.C. Agarwal,Ratan Aulakh,Anil Chadha,Sudhir Dalvi
359,                Aakhri Paigham,1949,,        -------,,40,Muzammil Khurshid,Muzammil Khurshid,Leela Mishra,Niranjan Sharma
360,                Aakhri Raat,1999,,Thriller,,40,Papu Bahruz,Sudhir Dalvi,Raj Devgan,Mushtaq Khan
361,                Aakhri Sajda,1977,110,Drama,,40,Helen,Jagdeep,Murad,Maya Sinha
362,                Aakhri Sangam,1990,160,"Action, Romance",,40,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
363,                Aakhri Sanghursh,1997,138,Action,7.3,39,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
364,                Aakhri Sauda: The Last Deal,2016,,Thriller,2.8,17,Sandeep Kumar,Tanvi Arora,Sonia Bajwa,Aaryan Chopra
365,                Aakraman,1975,139,"Drama, History, Romance",,40,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
366,                Aakrandan,2001,,Drama,6.3,44,        -------,        -------,        -------,        -------
367,                Aakrant,1988,,Drama,,40,Vinod Kumar,Sadashiv Amrapurkar,C.S. Dubey,Kislaya
368,                Aakrosh,1980,144,"Crime, Drama, Music",,40,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
369,                Aakrosh,2010,115,"Action, Crime, Thriller",7.9,887,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu
370,                Aakrosh: Cyclone of Anger,1998,,"Action, Crime, Drama",7,3464,Lateef Binny,Sunil Shetty,Shilpa Shetty Kundra,Girish Karnad
371,                Aalaap,2012,116,Sci-Fi,4.6,93,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
372,                Aalavandhan,2001,177,"Action, Thriller",5.4,26,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala
373,                Aalha Udal,1962,,"Drama, History",7.2,2192,Jaswant Jhaveri,Master Bhagwan,Paidi Jairaj,Jeevan
374,                Aalwar,2007,152,Action,,40,Chella,Ajith Kumar,Asin Thottumkal,Vivek
375,                Aamaar Bhuvan,2018,107,"Drama, Family",3,922,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
376,                Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",7.7,72,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
377,                Aamir,2008,99,"Action, Crime, Drama",4.8,1238,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala
378,                Aamna Saamna,2013,62,Animation,7.7,10862,Rajiv Chilaka,Jigna Bhardwaj,Rajesh Kava,Sabina Malik
379,                Aamne - Saamne,1967,163,"Crime, Mystery, Romance",,40,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
380,                Aamne Samne,1982,143,"Action, Crime, Drama",6.5,81,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
381,                Aamras: The Sweet Taste of Friendship,2009,,Drama,6.4,53,Rupali Guha,Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo
382,                Aamrityu,2018,,Drama,5.8,60,Arup Manna,        -------,        -------,        -------
383,                Aan Aur Shaan,1984,130,Drama,,40,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
384,                Aan Baan,1972,,Drama,6.4,37,Prakash Mehra,Rajendra Kumar,Rakhee Gulzar,Kumkum
385,                Aan Baan,1956,,Romance,6.1,28,D.D. Kashyap,Ajit,Nalini Jaywant,Mahipal
386,                Aan Milo Sajna,1970,177,"Drama, Musical, Romance",2.8,5,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
387,                Aan: Men at Work,2004,149,"Action, Crime, Drama",6.4,211,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty
388,                Aanch,2003,160,Drama,5.7,2907,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
389,                Aanchal,1980,138,"Action, Drama, Family",5.6,102,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
390,                Aanchal,1960,,"Drama, Family",6.4,58,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Nanda
391,                Aanchal Ke Phool,1968,,Drama,4.9,8,Karunesh Thakur,Sajjan,Kamini Kaushal,Dev Dutt
392,                Aandha Intaquam,1993,,Action,5.7,6,Swaroop Kumar,Shanti Priya,Ronit Roy,Tapasya
393,                Aandhi,1975,133,"Drama, Romance",,40,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri
394,                Aandhi,1948,,Drama,8.1,1406,T.R. Sundaram,        -------,        -------,        -------
395,                Aandhi Aur Toofan,1964,,"Action, Adventure, Romance",,40,Mohammed Hussain,Dara Singh,Mumtaz,Kamran
396,                Aandhi-Toofan,1985,144,Drama,6,8,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
397,                Aandhiyan,1952,136,Drama,6.1,49,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
398,                Aandhiyan,1990,145,Drama,7.4,30,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
399,                Aangan,1959,,"Music, Romance",4.8,38,O.P. Dutta,Agha,Ameeta,Rehman
400,                Aangan,1973,,"Drama, Family",6.6,31,Nasir Hussain,Farida Jalal,Ashim Kumar,Leela Mishra
401,                Aangan Ki Kali,1979,,"Drama, Family",,0,Harsh Kohli,Rakesh Roshan,Lakshmi,Prema Narayan
402,                Aani Maani,2019,94,Drama,5.6,5,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
403,                Aankh Ka Nasha,1933,,        -------,6.6,15,J.J. Madan,Khurshid Begum,Mukhtar Begum,Jehanara Kajjan
404,                Aankh Ki Sharm,1943,,        -------,,20,Balwant Bhatt,Prithviraj Kapoor,Trilok Kapoor,Kaushalya
405,                Aankh Micholi,1972,,Family,,20,Ramanna,Rakesh Roshan,Bharti,Om Prakash
406,                Aankh Micholi,2021,,"Comedy, Family",6,6,Umesh Shukla,Paresh Rawal,Sharman Joshi,Abhimanyu Dasani
407,                Aankh Michouli,1942,,        -------,,0,R.S. Choudhury,Nalini Jaywant,        -------,        -------
408,                Aankhein: The Third Eye,2004,,Action,,20,Nassar,Sada,Srikanth,        -------
409,                Aankhen,1993,170,"Action, Comedy, Crime",7.4,15,David Dhawan,Govinda,Chunky Panday,Raj Babbar
410,                Aankhen,1950,,"Drama, Family",6.7,1898,Devendra Goel,Shekhar,Bharat Bhushan,Nalini Jaywant
411,                Aankhen,2002,165,"Crime, Drama, Thriller",7.2,6,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen
412,                Aankhen 2,2021,,Thriller,7.4,12574,Abhinay Deo,Amitabh Bachchan,Sidharth Malhotra,        -------
413,                Aankhin Dekhi,1978,,Drama,,20,Rajinder Singh Bedi,Suresh Bhagwat,Bhanumati,Bipin Gupta
414,                Aankhon Aankhon Mein,1972,154,"Drama, Romance",,20,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
415,                Aankhon Mein Sapne Liye,2005,,Romance,6.4,28,Nilu Gavankar,Usha Bachani,Janina Gavankar,Cleo Isaacs
416,                Aansoo,1953,,Drama,,0,Shanti Kumar,Kamini Kaushal,Kumkum,Madan Mohan
417,                Aansoo Aur Muskan,1970,150,"Comedy, Drama, Family",,20,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
418,                Aansuon Ki Duniya,1936,,        -------,6.5,24,Anand Prasad Kapoor,Anwari,Sarla,Surendra
419,                Aantiya,1993,,Drama,,20,Hiren Goswani,Dixita,Anant Galvi,Raj Goswami
420,                Aao Baby Pyar Karen,1983,,Romance,,20,        -------,        -------,        -------,        -------
421,                Aao Hum Saath Chalein,2003,,Romance,,20,        -------,        -------,        -------,        -------
422,                Aao Jao Ghar Tumhara,1984,,Drama,,20,Murlidhar Kapdi,Agha,Birbal,Chandrashekhar
423,                Aao Khelein Gilli Danda,2021,,Drama,,20,Faheem Chaudhry,Sonal Jha,Omkar Das Manikpuri,Rajesh Jais
424,                Aao Milkar Gaen,1964,,Documentary,,20,Pramod Pati,        -------,        -------,        -------
425,                Aao Pyaar Karen,1964,,"Drama, Romance",,20,R.K. Nayyar,Joy Mukherjee,Saira Banu,Sanjeev Kumar
426,                Aao Pyaar Karen,1983,,Drama,6.2,15,Prakash Verma,Anita Advani,Radhika Bartake,Benjamin Gilani
427,                Aao Pyaar Karen,1994,141,Romance,,20,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
428,                Aao Wish Karein,2009,140,"Comedy, Family, Fantasy",4.2,160,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
429,                Aap Aye Bahaar Ayee,1971,119,"Comedy, Drama, Romance",5.1,584,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
430,                Aap Beati,1976,145,"Drama, Family",6.6,80,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
431,                Aap Beeti,1948,,Drama,5.7,32,Kumar,Agha,Ajit,Khurshid Begum
432,                Aap Jaisa Koi,2003,,Musical,,20,Ruslaan Mumtaz,        -------,        -------,        -------
433,                Aap Ka Pyar,1988,,Romance,,20,Baby Bulbul,Devesh,Jiteshwari,Ritu Khanna
434,                Aap Ke Deewane,1980,,Romance,,20,Surendra Mohan,Jeetendra,Rishi Kapoor,Tina Ambani
435,                Aap Ke Saath,1986,,Drama,5.8,204,J. Om Prakash,Smita Patil,Anil Kapoor,Rati Agnihotri
436,                Aap Ki Kasam,1974,153,"Romance, Drama",5.7,49,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
437,                Aap Ki Khatir,1977,115,"Action, Comedy, Drama",7,420,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
